model,dataset,image_id,precision,sensitivity,f1,iou,mcc,tvs,cldice,sf1
DCP_1024,AFIO,IM004539,0.8926036396587778,0.46455168890322773,0.611073057885,0.4399605474961005,,0.642857142857,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004564,0.9029614302792934,0.5438039700545733,0.678802534922,0.5137782601497236,,0.444444444444,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004790,0.8013918473343886,0.5167307927490065,0.628323696116,0.45806995013098667,,0.647058823529,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004993,0.8836614173204728,0.501883449723714,0.640174203032,0.4707766277558455,,0.74358974359,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005024,0.9137507978138851,0.44632885785161824,0.599719800602,0.4282855680311898,,0.609756097561,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005025,0.9110157590891007,0.46517204840812565,0.615873886513,0.44495503734225617,,0.625,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005060,0.8940944743415371,0.5187084662523411,0.656530872275,0.4886832594261055,,0.625,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005092,0.9331459205039894,0.4869871987335258,0.639982423732,0.47056923005963225,,0.619047619048,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005093,0.9091824063761051,0.47807469723857754,0.626642462353,0.45628501331607985,,0.857142857143,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005132,0.9364307446785319,0.49304078363367276,0.645970960639,0.4770731955230811,,0.823529411765,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005133,0.9197426979320449,0.460945895289453,0.614116207544,0.44312243990940337,,0.5,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005190,0.9020394572518832,0.3936599968036102,0.548116075448,0.3775205897517801,,0.25,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005191,0.9272136383348425,0.45790125421143174,0.613049921274,0.4420129683666225,,0.5,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005249,0.8473249612937923,0.5123302157464437,0.638559228189,0.4690319560061237,,0.869565217391,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005283,0.9210107978413713,0.48275347052968204,0.633469834033,0.46356081249383657,,0.0,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005320,0.8059090406116505,0.5145178382194732,0.628061400483,0.45779118737829305,,0.571428571429,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005321,0.8431018078007471,0.5661329687320555,0.677399873097,0.5121728474979049,,0.5,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005357,0.8691017922186552,0.4913664295108186,0.627794810203,0.45750796955947537,,0.541666666667,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005387,0.8682628524053501,0.5454308688996254,0.669985803691,0.5037433476652481,,0.566666666667,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005456,0.8284022768077116,0.5493863296865923,0.660642545909,0.49325334614079347,,0.5,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005457,0.8758768318798665,0.532234018070259,0.662123220743,0.49490598163361144,,1.0,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005488,0.9182385338968347,0.47675021826330727,0.627632904961,0.4573360198082889,,0.0833333333333,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005489,0.9376970197542595,0.4407427776517764,0.599639084507,0.42820324237333895,,0.666666666667,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005523,0.8968468942295873,0.5081693624695333,0.648747104954,0.48010783720238764,,0.518518518519,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005524,0.930326179547855,0.4243554229704425,0.582851289467,0.41128449338798423,,0.396226415094,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005558,0.9152440887179282,0.5063891067414771,0.652024218366,0.48370618170574553,,1.0,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005713,0.9110395904265345,0.49965583278257536,0.645364318567,0.47641172265911536,,0.428571428571,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005806,0.9148508213227143,0.4319822711562967,0.586857180405,0.4152851164563752,,0.4375,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005833,0.8992911909075061,0.4376476430795629,0.588766905617,0.41720032499267073,,0.45,0.704284943234,0.63066589951
DCP_1024,AFIO,IM005834,0.9492504630017309,0.4831940994063555,0.640404850028,0.47102613600908233,,0.565217391304,0.704284943234,0.63066589951
DCP_1024,AFIO,IM006037,0.8715348573439153,0.5750777372875066,0.692929531498,0.5301393828384393,,0.916666666667,0.704284943234,0.63066589951
DCP_1024,AFIO,IM006105,0.9147398195139874,0.43685718982495364,0.591316293559,0.4197651260217555,,0.25,0.704284943234,0.63066589951
DCP_1024,AFIO,IM006106,0.922917955537149,0.4686048454465707,0.621597900672,0.45095542220593116,,0.448275862069,0.704284943234,0.63066589951
DCP_1024,CHASEDB1,Image_01L,0.8191319454173921,0.874157135381214,0.845750490008,0.7327276145119279,,0.538441145281,0.838788179818,0.825083329505
DCP_1024,CHASEDB1,Image_01R,0.8485933009058189,0.8431176034488437,0.845846590361,0.7328718897304707,,0.417468541821,0.838788179818,0.825083329505
DCP_1024,CHASEDB1,Image_02L,0.8210920405238048,0.8342071446933564,0.827597636455,0.705898983308587,,0.473214285714,0.838788179818,0.825083329505
